#       step         time           dt          wss        u_tau      div_max          U_b      rho_max      rho_min
          62 2.029030e+00   3.2726e-02 1.049927e-03 3.240258e-02   4.4828e-15 1.000000e+00 2.687131e-01 3.809635e-02
          63 2.061757e+00   3.2726e-02 1.049928e-03 3.240259e-02   4.4951e-15 1.000000e+00 2.687131e-01 3.809635e-02
          64 2.094483e+00   3.2726e-02 1.049929e-03 3.240260e-02   4.4810e-15 1.000000e+00 2.687131e-01 3.809635e-02
          65 2.127209e+00   3.2726e-02 1.049929e-03 3.240261e-02   4.5124e-15 1.000000e+00 2.687131e-01 3.809635e-02
          66 2.159935e+00   3.2726e-02 1.049930e-03 3.240263e-02   4.4779e-15 1.000000e+00 2.687131e-01 3.809635e-02
          67 2.192662e+00   3.2726e-02 1.049931e-03 3.240264e-02   4.5126e-15 1.000000e+00 2.687131e-01 3.809635e-02
           1 2.337657e-02   2.3377e-02 1.050431e-03 3.241036e-02   8.1535e-13 1.000000e+00 2.264064e-01 2.781793e-02
           2 3.889105e-02   1.5514e-02 7.228248e-04 2.688540e-02   5.5067e-13 1.000000e+00 1.769813e-01 1.881413e-02
           3 5.481794e-02   1.5927e-02 7.887049e-04 2.808389e-02   9.8588e-14 1.000000e+00 1.800067e-01 1.929495e-02
           4 7.134316e-02   1.6525e-02 7.757274e-04 2.785188e-02   3.5527e-14 1.000000e+00 1.842979e-01 1.999083e-02
           5 8.782221e-02   1.6479e-02 7.671068e-04 2.769669e-02   4.4409e-14 1.000000e+00 1.839709e-01 1.993722e-02
           6 1.043854e-01   1.6563e-02 7.619049e-04 2.760263e-02   4.1744e-14 1.000000e+00 1.845665e-01 2.003493e-02
           7 1.221606e-01   1.7775e-02 7.531880e-04 2.744427e-02   4.2411e-14 1.000000e+00 1.929063e-01 2.143813e-02
           8 1.404284e-01   1.8268e-02 7.551634e-04 2.748024e-02   4.3077e-14 1.000000e+00 1.961729e-01 2.200609e-02
           9 1.593041e-01   1.8876e-02 7.562325e-04 2.749968e-02   4.0856e-14 1.000000e+00 2.001107e-01 2.270512e-02
          10 1.792776e-01   1.9974e-02 7.567891e-04 2.750980e-02   4.6629e-14 1.000000e+00 2.069731e-01 2.396240e-02
          11 1.993961e-01   2.0118e-02 7.634554e-04 2.763070e-02   4.2633e-14 1.000000e+00 2.078561e-01 2.412790e-02
          12 2.202946e-01   2.0898e-02 7.663666e-04 2.768333e-02   3.9524e-14 1.000000e+00 2.125191e-01 2.501658e-02
          13 2.414199e-01   2.1125e-02 7.729702e-04 2.780234e-02   4.8600e-14 1.000000e+00 2.138476e-01 2.527436e-02
          14 2.631279e-01   2.1708e-02 7.776727e-04 2.788678e-02   3.8580e-14 1.000000e+00 2.172055e-01 2.593528e-02
          15 2.851635e-01   2.2036e-02 7.838847e-04 2.799794e-02   4.0856e-14 1.000000e+00 2.190601e-01 2.630618e-02
          16 3.073401e-01   2.2177e-02 7.900886e-04 2.810852e-02   3.6970e-14 1.000000e+00 2.198504e-01 2.646551e-02
          17 3.298979e-01   2.2558e-02 7.956750e-04 2.820771e-02   3.4195e-14 1.000000e+00 2.219665e-01 2.689601e-02
          18 3.527533e-01   2.2855e-02 8.016333e-04 2.831313e-02   3.9857e-14 1.000000e+00 2.235968e-01 2.723158e-02
          19 3.754395e-01   2.2686e-02 8.080578e-04 2.842636e-02   3.4639e-14 1.000000e+00 2.226721e-01 2.704083e-02
          20 3.995242e-01   2.4085e-02 8.118243e-04 2.849253e-02   3.7970e-14 1.000000e+00 2.301351e-01 2.861237e-02
          21 4.238536e-01   2.4329e-02 8.183776e-04 2.860730e-02   3.6261e-14 1.000000e+00 2.314002e-01 2.888621e-02
          22 4.476139e-01   2.3760e-02 8.244677e-04 2.871355e-02   3.1308e-14 1.000000e+00 2.284397e-01 2.824881e-02
          23 4.721368e-01   2.4523e-02 8.288271e-04 2.878936e-02   3.0753e-14 1.000000e+00 2.323930e-01 2.910268e-02
          24 4.973215e-01   2.5185e-02 8.340293e-04 2.887956e-02   3.0198e-14 1.000000e+00 2.357331e-01 2.984117e-02
          25 5.222418e-01   2.4920e-02 8.395765e-04 2.897545e-02   2.6201e-14 1.000000e+00 2.344087e-01 2.954644e-02
          26 5.468372e-01   2.4595e-02 8.445469e-04 2.906109e-02   2.2649e-14 1.000000e+00 2.327626e-01 2.918362e-02
          27 5.723170e-01   2.5480e-02 8.486512e-04 2.913162e-02   2.2649e-14 1.000000e+00 2.371963e-01 3.016975e-02
          28 5.978444e-01   2.5527e-02 8.535963e-04 2.921637e-02   2.4036e-14 1.000000e+00 2.374308e-01 3.022270e-02
          29 6.240260e-01   2.6182e-02 8.576425e-04 2.928553e-02   2.0428e-14 1.000000e+00 2.406128e-01 3.094934e-02
