study,case,np,backend,rho,grid,cells,wall_per_step_s,rhs,solve_x,solve_y,solve_z,comm
weak,128cube,2,filtered_v2,040,129x129x257,4276737,7.294946e-04,3.847670e-05,1.721042e-04,1.670961e-04,3.102301e-04,4.158745e-05
weak,128cube,2,pascal,025,129x129x257,4276737,7.881287e-04,3.861140e-05,1.713497e-04,1.651444e-04,3.695184e-04,4.350485e-05
weak,128cube,2,pascal,040,129x129x257,4276737,7.829409e-04,3.863000e-05,1.685475e-04,1.634347e-04,3.685021e-04,4.382665e-05
weak,128cube,4,filtered_v2,025,129x129x513,8536833,7.489824e-04,3.896695e-05,1.725906e-04,1.671784e-04,3.118383e-04,5.840815e-05
weak,128cube,4,filtered_v2,040,129x129x513,8536833,7.671174e-04,3.885760e-05,1.741143e-04,1.687678e-04,3.276378e-04,5.773985e-05
weak,128cube,4,pascal,025,129x129x513,8536833,8.735979e-04,3.890935e-05,1.701122e-04,1.644779e-04,4.416092e-04,5.848925e-05
weak,128cube,4,pascal,040,129x129x513,8536833,8.773636e-04,3.906555e-05,1.705755e-04,1.645306e-04,4.434449e-04,5.974715e-05
weak,128cube,8,filtered_v2,025,129x129x1025,17057025,7.598761e-04,3.926840e-05,1.777873e-04,1.679170e-04,3.139793e-04,6.092405e-05
weak,128cube,8,filtered_v2,040,129x129x1025,17057025,7.739738e-04,3.974565e-05,1.734758e-04,1.679039e-04,3.336682e-04,5.918025e-05
weak,128cube,8,pascal,025,129x129x1025,17057025,9.387499e-04,3.936910e-05,1.693411e-04,1.641651e-04,5.051495e-04,6.072525e-05
weak,128cube,8,pascal,040,129x129x1025,17057025,9.390334e-04,3.933410e-05,1.709090e-04,1.649155e-04,5.035717e-04,6.030305e-05
weak,256cube,2,filtered_v2,025,257x257x513,33883137,2.570662e-03,2.470397e-04,7.217286e-04,6.775576e-04,8.755110e-04,4.882485e-05
weak,256cube,2,filtered_v2,040,257x257x513,33883137,2.613500e-03,2.465605e-04,7.214819e-04,6.772083e-04,9.195195e-04,4.872960e-05
weak,256cube,2,pascal,025,257x257x513,33883137,2.768560e-03,2.477532e-04,7.186725e-04,6.739690e-04,1.078243e-03,4.992250e-05
weak,256cube,2,pascal,040,257x257x513,33883137,2.768690e-03,2.468333e-04,7.191427e-04,6.744069e-04,1.078739e-03,4.956830e-05
weak,256cube,4,filtered_v2,025,257x257x1025,67700225,2.617789e-03,2.479642e-04,7.241928e-04,6.780294e-04,9.012630e-04,6.633950e-05
weak,256cube,4,filtered_v2,040,257x257x1025,67700225,2.732052e-03,2.481394e-04,7.507471e-04,6.788167e-04,9.859840e-04,6.836440e-05
weak,256cube,4,pascal,025,257x257x1025,67700225,2.974850e-03,2.805195e-04,7.200972e-04,6.743251e-04,1.231224e-03,6.868460e-05
weak,256cube,4,pascal,040,257x257x1025,67700225,2.994966e-03,2.869798e-04,7.334292e-04,6.739240e-04,1.229865e-03,7.076770e-05
weak,256cube,8,filtered_v2,025,257x257x2049,135334401,2.691735e-03,2.488235e-04,7.241110e-04,7.116269e-04,9.383046e-04,6.886935e-05
weak,256cube,8,filtered_v2,040,257x257x2049,135334401,2.672296e-03,2.479926e-04,7.234882e-04,6.787361e-04,9.555947e-04,6.648465e-05
weak,256cube,8,pascal,025,257x257x2049,135334401,2.967747e-03,2.487728e-04,7.203536e-04,6.749282e-04,1.251959e-03,7.173305e-05
weak,256cube,8,pascal,040,257x257x2049,135334401,2.963568e-03,2.487612e-04,7.201253e-04,6.744427e-04,1.251568e-03,6.867060e-05
weak,512cube,2,filtered_v2,025,513x513x1025,269748225,1.682920e-02,1.893371e-03,5.065926e-03,4.729803e-03,5.063378e-03,7.672605e-05
weak,512cube,2,filtered_v2,040,513x513x1025,269748225,1.694471e-02,1.893125e-03,5.065506e-03,4.730365e-03,5.178995e-03,7.671815e-05
weak,512cube,2,pascal,025,513x513x1025,269748225,1.879169e-02,1.893021e-03,5.066557e-03,4.726835e-03,7.027575e-03,7.770460e-05
weak,512cube,2,pascal,040,513x513x1025,269748225,1.879349e-02,1.894167e-03,5.058344e-03,4.729747e-03,7.032649e-03,7.858090e-05
weak,512cube,4,filtered_v2,025,513x513x2049,539233281,1.690121e-02,1.895590e-03,5.064918e-03,4.736570e-03,5.106038e-03,9.809210e-05
weak,512cube,4,filtered_v2,040,513x513x2049,539233281,1.701919e-02,1.895729e-03,5.066348e-03,4.736086e-03,5.223737e-03,9.728750e-05
weak,512cube,4,pascal,025,513x513x2049,539233281,1.922515e-02,1.898807e-03,5.065629e-03,4.731754e-03,7.430025e-03,9.893950e-05
weak,512cube,4,pascal,040,513x513x2049,539233281,1.922372e-02,1.895911e-03,5.065378e-03,4.728148e-03,7.435032e-03,9.924790e-05
weak,512cube,8,filtered_v2,025,513x513x4097,1078203393,1.694058e-02,1.899131e-03,5.071500e-03,4.741968e-03,5.124221e-03,1.037646e-04
weak,512cube,8,filtered_v2,040,513x513x4097,1078203393,1.706550e-02,1.899318e-03,5.070611e-03,4.738437e-03,5.254943e-03,1.021905e-04
weak,512cube,8,pascal,025,513x513x4097,1078203393,1.915086e-02,1.897286e-03,5.065543e-03,4.736349e-03,7.347101e-03,1.045805e-04
weak,512cube,8,pascal,040,513x513x4097,1078203393,1.915201e-02,1.899900e-03,5.065333e-03,4.735233e-03,7.348201e-03,1.033404e-04
